

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735983 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
#51348 Pairs ACBL Wed 5pm Speedball 	1/266 	2.40 	74.02% 	 
1 	2020-09-09 14:23 	Kcat 	richgb 	harmann8 	arnedanske 	3♠xN+1 	930 	100.00% 	Movie or Lin 	 
2 	2020-09-09 14:24 	frusco 	skiborder 	mayyou 	0000khaled 	3NS+1 	630 	98.86% 	Movie or Lin 	 
3 	2020-09-09 14:23 	brisi153 	frate42 	clevenut 	Laurenlou 	3NS+1 	630 	98.86% 	Movie or Lin 	 
4 	2020-09-09 14:22 	trumpface 	Mistee 	jobengland 	tpsc 	4♠N= 	620 	95.83% 	Movie or Lin 	 
5 	2020-09-09 14:21 	katapulta 	nkl1234 	265426 	dubose 	4♠N= 	620 	95.83% 	Movie or Lin 	 
6 	2020-09-09 14:21 	mrobichek 	elogg 	miss plays 	miss bids 	4♠N= 	620 	95.83% 	Movie or Lin 	 
7 	2020-09-09 14:23 	cloudy1 	super1960 	Air1 	Flag5819 	4♠N= 	620 	95.83% 	Movie or Lin 	 
8 	2020-09-09 14:21 	bds02 	ghb1049 	ddyan 	onrelas 	4♠N= 	620 	95.83% 	Movie or Lin 	 
9 	2020-09-09 14:21 	ginad 	Donnarod 	gavina22 	Cboschg 	4♠N= 	620 	95.83% 	Movie or Lin 	 
10 	2020-09-09 14:25 	mollymh 	WildRide47 	jasminb4 	Jeff Fran 	4♥xW-3 	500 	92.80% 	Movie or Lin 	 
11 	2020-09-09 14:23 	lujack 	Mikeyb 	ddlion 	nabuk 	3♣xW-3 	500 	92.80% 	Movie or Lin 	 
12 	2020-09-09 14:24 	pattigolf 	Jeantennis 	pfflyer 	smokeysue 	3♥xE-2 	300 	91.67% 	Movie or Lin 	 
13 	2020-09-09 14:27 	RMF1939 	apisces 	RemysDad 	stanleyfg 	5♥W-5 	250 	90.91% 	Movie or Lin 	 
14 	2020-09-09 14:21 	WillK 	toby99 	juber12345 	Shirdor 	1♠N+4 	200 	90.15% 	Movie or Lin 	 
